book_id,openlibrary_work_key,status,edition_rows,reported_size,error
BOOK00419,/works/OL21025505W,success,2,2.0,
BOOK00420,/works/OL8938308W,success,3,3.0,
BOOK00421,/works/OL16987860W,success,7,7.0,
BOOK00422,/works/OL18567140W,success,2,2.0,
BOOK00423,/works/OL3598963W,success,2,2.0,
BOOK00424,/works/OL23875189W,success,1,1.0,
BOOK00425,/works/OL25143471W,success,6,6.0,
BOOK00426,/works/OL24816764W,success,1,1.0,
BOOK00427,/works/OL16927893W,success,6,6.0,
BOOK00428,/works/OL6031518W,success,2,2.0,
BOOK00429,/works/OL6212087W,success,13,13.0,
BOOK00430,/works/OL16925746W,success,12,12.0,
BOOK00431,/works/OL20748091W,success,6,6.0,
BOOK00432,/works/OL20825706W,success,2,2.0,
BOOK00433,/works/OL5824174W,success,2,2.0,
BOOK00434,/works/OL20101876W,success,6,6.0,
BOOK00435,/works/OL28001531W,success,1,1.0,
BOOK00436,/works/OL20004872W,success,2,2.0,
BOOK00437,/works/OL4296663W,success,6,6.0,
BOOK00438,/works/OL9170797W,success,2,2.0,
BOOK00439,/works/OL17306701W,success,1,1.0,
BOOK00440,/works/OL3841010W,success,8,8.0,
BOOK00441,/works/OL13761120W,success,2,2.0,
BOOK00442,/works/OL27812812W,success,5,5.0,
BOOK00443,/works/OL19860807W,success,1,1.0,
BOOK00444,/works/OL21064078W,success,6,6.0,
BOOK00445,/works/OL20335690W,success,3,3.0,
BOOK00446,/works/OL25198624W,success,8,8.0,
BOOK00447,/works/OL12388844W,success,1,1.0,
BOOK00448,/works/OL4776184W,success,7,7.0,
BOOK00449,/works/OL18231622W,success,2,2.0,
BOOK00450,/works/OL25695551W,success,2,2.0,
BOOK00451,/works/OL25139548W,success,6,6.0,
BOOK00452,/works/OL21279212W,success,6,6.0,
BOOK00453,/works/OL15092871W,success,7,7.0,
BOOK00454,/works/OL1824488W,success,1,1.0,
BOOK00455,/works/OL14996251W,success,1,1.0,
BOOK00456,/works/OL15901685W,success,1,1.0,
BOOK00457,/works/OL15517574W,success,1,1.0,
BOOK00458,/works/OL31211688W,success,1,1.0,
BOOK00459,/works/OL2618251W,success,26,26.0,
BOOK00460,/works/OL34030965W,success,5,5.0,
BOOK00461,/works/OL14988063W,success,1,1.0,
BOOK00462,/works/OL26331086W,success,4,4.0,
BOOK00463,/works/OL1913698W,success,1,1.0,
BOOK00464,/works/OL22125837W,success,6,6.0,
BOOK00465,/works/OL20473299W,success,2,2.0,
BOOK00466,/works/OL8423529W,success,13,13.0,
BOOK00467,/works/OL1932148W,success,4,4.0,
BOOK00468,/works/OL20753927W,success,6,6.0,
BOOK00469,/works/OL8463818W,success,2,2.0,
BOOK00470,/works/OL25782829W,success,4,4.0,
BOOK00471,/works/OL15168112W,success,15,15.0,
BOOK00472,/works/OL4643074W,success,14,14.0,
BOOK00473,/works/OL2719657W,success,13,13.0,
BOOK00474,/works/OL82234W,success,22,22.0,
BOOK00475,/works/OL1906131W,success,5,5.0,
BOOK00476,/works/OL3518226W,success,5,5.0,
BOOK00477,/works/OL1906132W,success,15,15.0,
BOOK00478,/works/OL1898033W,success,15,15.0,
BOOK00479,/works/OL1898032W,success,4,4.0,
BOOK00480,/works/OL1965631W,success,11,11.0,
BOOK00481,/works/OL15148396W,success,3,3.0,
BOOK00482,/works/OL2686231W,success,9,9.0,
BOOK00483,/works/OL29362199W,success,12,12.0,
