scrape_id,title,subtitle,author,format_raw,isbn,publisher,publication_date_raw,cover_url,cover_alt_raw,external_book_url,release_page,release_page_url,source,scraped_at
47,Darkhorse,: Harnessing Hidden Potential in War and Life,Amatangelo AJ Pasciuti with Neil McGinness,"Hardcover, 384 pages",9781400254972,HarperCollins Leadership,"October 21, 2025",https://www.leadershipnow.com/leadershop/images/9781400254972.jpg,9781400254972,https://amzn.to/4kvn9HO,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
48,Winston and the Windsors,: A Riveting Historical Biography of Winston Churchill and His Complex Relationship With the British Royal House of Windsor,Andrew Morton,"Hardcover, 448 pages",9781335250995,Hanover Square Press,"October 21, 2025",https://www.leadershipnow.com/leadershop/images/9781335250995.jpg,9781335250995,https://amzn.to/4nM1fSG,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
49,Delivering the Wow,: Culture as Catalyst for Lasting Success,Richard Fain,"Hardcover, 240 pages",9781639081592,Fast Company Press,"October 21, 2025",https://www.leadershipnow.com/leadershop/images/9781639081592.jpg,9781639081592,https://amzn.to/3KDhRN6,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
50,Leadership Unblocked,: Break Through the Beliefs That Limit Your Potential,Muriel M. Wilkins,"Hardcover, 256 pages",9781647827267,Harvard Business Review Press,"October 28, 2025",https://www.leadershipnow.com/leadershop/images/9781647827267.jpg,9781647827267,https://amzn.to/4f6gMZx,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
51,Respect,: How to Change the World One Interaction at a Time,Robert Dilenschneider,"Hardcover, 192 pages",9781394340965,Wiley,"October 28, 2025",https://www.leadershipnow.com/leadershop/images/9781394340965.jpg,9781394340965,https://amzn.to/48yMywW,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
52,Read Your Mind,: Proven Habits for Success from the World's Greatest Mentalist,Oz Pearlman,"Hardcover, 304 pages",9798217059041,Viking,"October 28, 2025",https://www.leadershipnow.com/leadershop/images/9798217059041.jpg,9798217059041,https://amzn.to/4algqOv,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
53,Soulgery,: A Lifelong Guide to Unlocking Your Potential,Ahmet Bozer,"Paperback, 166 pages",9798998507205,Growth Colony,"October 28, 2025",https://www.leadershipnow.com/leadershop/images/9798998507205.jpg,9798998507205,https://amzn.to/3Kj37my,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
54,The Accidental Network,: How a Small Company Sparked a Global Broadband Transformation,Rouzbeh Yassini-Fard with Stewart Schley,"Hardcover, 210 pages",9781959000600,West Virginia University Press,"September 1, 2025",https://www.leadershipnow.com/leadershop/images/9781959000600.jpg,9781959000600,https://amzn.to/43AIR5U,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
55,The Collective Edge,: Unlocking the Secret Power of Groups,Colin M. Fisher,"Hardcover, 336 pages",9780593715345,Avery,"September 2, 2025",https://www.leadershipnow.com/leadershop/images/9780593715345.jpg,9780593715345,https://amzn.to/4lG7N3p,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
56,Lead Every Day,: Three Essential Disciplines to Unleash the Passion and Performance of Everyone Around You,Mark Miller and Randy Gravitt,"Hardcover, 264 pages",9781637747278,Matt Holt Books,"September 2, 2025",https://www.leadershipnow.com/leadershop/images/9781637747278.jpg,9781637747278,https://amzn.to/3HNm7Zs,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
57,Break The Bottle,": Shatter Limitations, Master Solutions Thinking, and Achieve Extraordinary Success",Michael W Allison,"Hardcover, 462 pages",9798999366566,Shine Press,"September 5, 2025",https://www.leadershipnow.com/leadershop/images/9798999366566.jpg,9798999366566,https://amzn.to/4mfFIQ2,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
58,We Are  Ambiverts Now,,Karl Moore and Gabriele Hartshorne-Mehl,"Paperback, 176 pages",9781041009108,Routledge,"September 8, 2025",https://www.leadershipnow.com/leadershop/images/9781041009108.jpg,9781041009108,https://amzn.to/4lL9UmI,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
59,The Secure Leader,: Discover the Hidden Forces that Shape Your Leadership Storyand How to Change Them,Jaime Goff,"Hardcover, 192 pages",9798891384316,Amplify Publishing,"September 9, 2025",https://www.leadershipnow.com/leadershop/images/9798891384316.jpg,9798891384316,https://amzn.to/465EJgz,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
60,Peacemaker,: U Thant and the Forgotten Quest for a Just World,Thant Myint-U,"Hardcover, 384 pages",9781324051978,W. W. Norton & Company,"September 9, 2025",https://www.leadershipnow.com/leadershop/images/9781324051978.jpg,9781324051978,https://amzn.to/4dHQYSO,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
61,This Is for Everyone,: The Unfinished Story of the World Wide Web,Tim Berners-Lee,"Hardcover, 400 pages",9780374612467,"Farrar, Straus and Giroux","September 9, 2025",https://www.leadershipnow.com/leadershop/images/9780374612467.jpg,9780374612467,https://amzn.to/40DtAQW,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
62,The Resilience Mindset,": How Adversity Can Strengthen Individuals, Teams, and Leaders",Terry Healey,"Hardcover, 208 pages",9781770418561,ECW Press,"September 9, 2025",https://www.leadershipnow.com/leadershop/images/9781770418561.jpg,9781770418561,https://amzn.to/4m3tcnN,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
63,It's Not Magic,: The Ordinary Skills of Exceptional Leaders,John Amaechi,"Hardcover, 288 pages",9781394338276,Wiley,"September 15, 2025",https://www.leadershipnow.com/leadershop/images/9781394338276.jpg,9781394338276,https://amzn.to/4nSWSo6,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
64,Manage Yourself to Lead Others,: Why Great Leadership Begins with Self-Understanding,Margaret C. Andrews,"Hardcover, 256 pages",9781541705685,Wiley,"September 16, 2025",https://www.leadershipnow.com/leadershop/images/9781541705685.jpg,9781541705685,https://amzn.to/409KTJm,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
65,Stress Nation,": Escape the Technology Trap, Eliminate Stress, and Reclaim Rest",Justin Hai,"Hardcover, 272 pages",9781394374991,Basic Venture,"September 16, 2025",https://www.leadershipnow.com/leadershop/images/9781394374991.jpg,9781394374991,https://amzn.to/3SZKuFv,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
66,How Leaders Lose Their Way,: And How to Make Sure It Doesn't Happen to You,Peter Greer and Jill Heisey,"Paperback, 192 pages",9781514013540,IVP,"September 16, 2025",https://www.leadershipnow.com/leadershop/images/9781514013540.jpg,9781514013540,https://amzn.to/4or9zGu,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
67,The Laughter Factor,": The 5 Humor Tactics to Link, Lift, and Lead",Adam Christing,"Paperback, 192 pages",9798890570802,Berrett-Koehler Publishers,"September 16, 2025",https://www.leadershipnow.com/leadershop/images/9798890570802.jpg,9798890570802,https://amzn.to/47tesKq,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
68,Strong Ground,": The Lessons of Daring Leadership, the Tenacity of Paradox, and the Wisdom of the Human Spirit",Brené Brown,"Hardcover, 448 pages",9781984855749,Random House,"September 23, 2025",https://www.leadershipnow.com/leadershop/images/9781984855749.jpg,9781984855749,https://amzn.to/4lC5dL7,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
