book_id,core_recommendations,enriched_recommendations,core_mean_similarity,enriched_mean_similarity,core_rank1_similarity,enriched_rank1_similarity,top10_overlap_count,top10_overlap_ratio
BOOK01653,10,10,0.29562272740557893,0.23814383300098685,0.7345253377427517,0.7025543860978244,9,0.9
BOOK01654,10,10,0.36876870197176703,0.3492825154608909,0.5216079099171274,0.5182537848735218,7,0.7
BOOK01655,10,10,0.31185591202063,0.2820201562039596,0.42445252275673023,0.4279244034666087,7,0.7
BOOK01656,10,10,0.436774056640846,0.4326818739882675,0.7917484215323515,0.7817303027141261,10,1.0
BOOK01657,10,10,0.49279090134623854,0.3903199374404054,0.6139816705733339,0.5091387130766144,9,0.9
BOOK01658,8,10,0.3465033643516904,0.25864571993974084,0.5976755564873415,0.625457163026989,8,0.8
BOOK01660,10,10,0.3716499690529166,0.3756151095307081,0.61690182737092,0.6069787855844989,8,0.8
BOOK01661,10,10,0.34424847743921916,0.3091550506767017,0.6164981445733194,0.6164981445733194,9,0.9
BOOK01662,10,10,0.3900600355749549,0.3661511933209594,0.616898468717221,0.6372323629948782,7,0.7
BOOK01663,10,10,0.6017436628297796,0.6011206274080455,0.7105988770058548,0.70375522280114,8,0.8
BOOK01664,10,10,0.3621873529863636,0.3470804625676238,0.6061662363232734,0.6088939011804041,8,0.8
BOOK01665,5,5,0.5300998551335339,0.5395172655833755,1.0,1.0,5,0.5
BOOK01666,10,10,0.3448398717764324,0.28460230033955974,0.767588960412332,0.5975168186117095,9,0.9
BOOK01667,10,10,0.30570840396071153,0.2847513764914756,0.38687040731555333,0.39996063769126616,8,0.8
BOOK01668,10,10,0.3041440549914688,0.28452953381844426,0.4548844663367774,0.38894373331234044,8,0.8
BOOK01669,10,10,0.42867096524560183,0.4373438690763039,0.5847266653158179,0.5856853704531733,10,1.0
BOOK01670,10,10,0.40995418109177384,0.32177194036139745,0.5668547689180243,0.4583752941964506,9,0.9
BOOK01671,7,7,0.6635170460351996,0.6267432084870234,1.0,1.0,7,0.7
BOOK01672,10,10,0.3162403842256742,0.2895256721771632,0.4829395836181544,0.45385847009084623,9,0.9
BOOK01673,10,10,0.38795723670156546,0.374802128618077,0.463660228914627,0.4960702022438375,7,0.7
BOOK01674,10,10,0.404157798173464,0.3968988355019229,0.4647057984051726,0.4915598190416534,9,0.9
BOOK01675,10,10,0.29937107441951294,0.28817927378745145,0.4114867012856712,0.44594829366314054,6,0.6
BOOK01676,10,10,0.3470833977699744,0.3143774685758574,0.4305613992687349,0.3966339890336938,7,0.7
BOOK01677,10,10,0.40525217174592704,0.30806743019748717,0.603896719036479,0.49003990890262383,8,0.8
BOOK01678,10,10,0.34750169056257196,0.33661556385176794,0.6425281046543772,0.6425281046543772,8,0.8
BOOK01679,10,10,0.25992053087027517,0.23826567086172784,0.860042672665637,0.8513991933698465,8,0.8
BOOK01680,10,10,0.3590310239513348,0.3296473394641303,0.5576745814125826,0.5755031927975126,8,0.8
BOOK01681,10,10,0.3983348206949496,0.37439210293034486,0.5906246875177155,0.6154805603679238,9,0.9
BOOK01682,10,10,0.30742438295035834,0.2733341081014064,0.424197183734915,0.4430483128292618,7,0.7
BOOK01683,10,10,0.3631026497086424,0.31394425271259563,0.5205094178062778,0.3766041221126863,6,0.6
BOOK01684,10,10,0.31391083465746883,0.2305415804957415,0.5201815495134489,0.3875178227392053,7,0.7
BOOK01686,10,10,0.3898606207176832,0.25117162373192176,0.5059977273824784,0.3976132907178408,9,0.9
BOOK01687,10,10,0.33407718570513695,0.3150671196815788,0.46068267348638925,0.4718946670515809,9,0.9
BOOK01688,10,10,0.35290065314149593,0.32834274474937025,0.5392278645040339,0.38685112407238054,7,0.7
BOOK01689,9,10,0.35339598609280987,0.2703202585304921,0.43061182374641865,0.4464408155562448,9,0.9
BOOK01690,10,10,0.374231838398911,0.28420021296346787,0.5448668169231978,0.4292784501152459,6,0.6
BOOK01691,10,10,0.3749339076018693,0.35148627657516907,0.5069776949006446,0.5069776949006446,7,0.7
BOOK01692,10,10,0.3835409474019584,0.3738126752008506,0.5278303799592924,0.5426943539998955,9,0.9
BOOK01693,4,4,0.49879928450667144,0.3433182116770221,0.5845174425645945,0.575773950778308,4,0.4
BOOK01694,10,10,0.2798445822143443,0.261575099022317,0.3154194029992208,0.3183657887666437,8,0.8
BOOK01695,10,10,0.4005646205990451,0.29226875795164603,0.7014275065577414,0.5439390246986388,9,0.9
BOOK01696,10,10,0.4180110330948065,0.3807835801573266,0.629628195372226,0.6782701174011302,6,0.6
BOOK01697,10,10,0.32265773685478744,0.27775102792272033,0.5245683359091483,0.40895958280776284,8,0.8
BOOK01698,10,10,0.36724489165971,0.3626017281247812,0.6209590581924155,0.6377744593132003,9,0.9
BOOK01699,4,6,0.43597364369061475,0.26559724128279866,0.4649604532003037,0.4577295645970313,4,0.4
BOOK01700,2,2,0.7207176568544855,0.634453969803766,0.8790617181813297,0.8790617181813297,2,0.2
BOOK01701,10,10,0.2713380430816767,0.27233653593822804,0.44384897997347783,0.44795367610834436,9,0.9
BOOK01702,10,10,0.3390827622705653,0.2969319377837098,0.5091984936750692,0.5002587481463069,9,0.9
BOOK01703,3,3,0.5173441670008577,0.4776006030578639,0.8790617181813297,0.8790617181813297,3,0.3
BOOK01704,10,10,0.369238609906776,0.3521565681335629,0.6983749239325837,0.6880912270628188,8,0.8
BOOK01705,6,8,0.3224932256877942,0.2215180514204152,0.4352335194571825,0.35558562972707597,6,0.6
BOOK01706,10,10,0.35120577148402204,0.3391009749531013,0.5091984936750692,0.5002587481463069,8,0.8
BOOK01707,10,10,0.27771842542386616,0.23105075980845027,0.504891583235303,0.3213826501278037,8,0.8
BOOK01708,10,10,0.35506654066257964,0.3553241305920246,0.5606400494023628,0.5695302278512887,9,0.9
BOOK01709,10,10,0.2485531616448367,0.2454579747438498,0.7685864368332985,0.7704539322043256,9,0.9
BOOK01710,10,10,0.45696862784474057,0.45355030642415783,0.6810902545472941,0.7392124129302036,7,0.7
BOOK01711,10,10,0.5468575497201248,0.5316847190767953,0.7776983124132506,0.8086179836552064,9,0.9
BOOK01712,10,10,0.45456869716974263,0.4185489246947961,0.6122431132137593,0.6160281859629617,9,0.9
BOOK01713,10,10,0.4189804828959331,0.4018471967061412,0.573670785167976,0.6078004180224393,9,0.9
BOOK01714,10,10,0.3589460601638697,0.32904181318197656,0.5716896616311391,0.5726209963409853,6,0.6
BOOK01715,7,7,0.6635170460351996,0.6267432084870234,1.0,1.0,7,0.7
BOOK01716,10,10,0.3140748008214596,0.22358541647125474,0.5050661145758782,0.3048110609203373,10,1.0
BOOK01717,10,10,0.2907705871577036,0.208359301883565,0.43731620382093933,0.3207245548701185,6,0.6
BOOK01718,3,4,0.35511550806200637,0.18529129636579983,0.3898462214262023,0.3235918676363896,3,0.3
BOOK01719,10,10,0.37513596639461233,0.3387886897714808,0.5143308323819701,0.5219817313837056,8,0.8
BOOK01721,9,9,0.4478514787466464,0.43038062453031833,0.6640415236446039,0.6640415236446039,9,0.9
BOOK01722,10,10,0.3619325292315315,0.28857448987434886,0.5259979962154983,0.43572080024791676,7,0.7
BOOK01723,10,10,0.30792602596803115,0.27379036008683044,0.5927960656361047,0.5730605743137867,8,0.8
BOOK01724,4,8,0.4833489582087586,0.2647114602466757,0.6986933161719926,0.7200635922265091,4,0.4
BOOK01725,6,6,0.3880001770319553,0.4043338833952637,0.509659424346749,0.5202344707997242,6,0.6
BOOK01726,10,10,0.2952519295370943,0.28196357874065797,0.6986933161719926,0.7200635922265091,7,0.7
BOOK01727,8,8,0.49131658691190705,0.4671364579348605,0.669510346360981,0.7012483158979934,8,0.8
BOOK01728,10,10,0.31586096229699356,0.2871763498764032,0.4475761324609586,0.528379274243886,9,0.9
BOOK01729,2,2,0.5414631725226269,0.5440996168477465,0.551554383608172,0.551554383608172,2,0.2
BOOK01730,10,10,0.28492996508081303,0.20050143241663262,0.42963774389171,0.30219051318302564,7,0.7
BOOK01731,10,10,0.3431554686169125,0.32230305207730525,0.5732056155850874,0.593471235877063,9,0.9
BOOK01732,10,10,0.46200247173872383,0.4298744799128026,0.7437744154587362,0.7337584410699287,9,0.9
BOOK01734,10,10,0.3616141409490886,0.28335423911874685,0.4183330995249554,0.3633186341289889,6,0.6
BOOK01736,9,10,0.318297411146678,0.2871363814037516,0.4822473676838343,0.5576395824877818,9,0.9
BOOK01737,10,10,0.4774784591289615,0.45347633529047676,0.6294077962939375,0.6230981608573134,7,0.7
BOOK01738,10,10,0.31083470137806224,0.3067556175615122,0.35685688488061573,0.3563035268233638,6,0.6
BOOK01739,10,10,0.3027568325575956,0.2849584584421593,0.7128666183822091,0.7419250073141066,6,0.6
BOOK01740,10,10,0.2196113701051678,0.20564962786782096,0.9026739459625742,0.8733650585898342,8,0.8
BOOK01741,10,10,0.2862091666327656,0.24713554363146356,0.364745318283865,0.286044099915766,5,0.5
BOOK01742,7,7,0.3596344037221397,0.3508265287174529,0.583273908013564,0.583273908013564,7,0.7
BOOK01743,10,10,0.32777201611945905,0.3007543574314746,0.4449656326151136,0.36443380226575495,6,0.6
BOOK01744,10,10,0.3040280450623246,0.30003310521790144,0.4952088925211341,0.5220396729380123,9,0.9
BOOK01745,10,10,0.4235619022740883,0.38976297280842054,0.6016118045460631,0.49468894059860075,9,0.9
BOOK01746,2,4,0.501156240772612,0.20526259662842003,0.5754037355412869,0.38415197066569656,2,0.2
BOOK01747,10,10,0.3180986623731343,0.3183764366844956,0.4673519748370136,0.47999080100934427,8,0.8
BOOK01748,10,10,0.34000272006269405,0.32710516637401904,0.4266390609466867,0.44414718850686713,7,0.7
BOOK01749,10,10,0.3441231011666367,0.2759223163948329,0.6409274000317254,0.6340875409246147,8,0.8
BOOK01750,10,10,0.43848464847687707,0.4056576610178082,0.6294077962939375,0.6230981608573134,7,0.7
BOOK01752,3,6,0.4060268283190165,0.20316218207735529,0.4901775420870926,0.41840664725916293,3,0.3
BOOK01753,7,10,0.4032667888622858,0.2743684534410231,0.4964065621992186,0.44276813361163636,7,0.7
BOOK01754,8,10,0.22955757608073785,0.15740934493334607,0.3411821548168206,0.33155115225843246,7,0.7
BOOK01755,9,10,0.3659748516379357,0.31445676707520626,0.44031867722209284,0.44816103860860257,9,0.9
BOOK01756,10,10,0.43486850716880143,0.40104706525248995,0.6239112989937489,0.48911663201867817,9,0.9
BOOK01757,10,10,0.4727752306107054,0.29862535373076704,0.9516405382704117,0.766886549971745,8,0.8
BOOK01758,10,10,0.2511233145177951,0.18981918352184654,0.4061327746663687,0.4235368395378644,6,0.6
BOOK01759,6,7,0.36586638451240533,0.28321873142271464,0.43759253384838626,0.44205156561700104,6,0.6
BOOK01760,10,10,0.35151708024255923,0.2753321307960984,0.4745626058851559,0.4243488126850406,6,0.6
BOOK01761,10,10,0.29496792840165403,0.23977430255237508,0.3402069909438329,0.34270107110206094,7,0.7
BOOK01762,10,10,0.3198175104243525,0.27766259420405504,0.44521012246873654,0.36676145877665167,6,0.6
BOOK01763,4,5,0.37954596941025825,0.32037723788180855,0.4649604532003037,0.4745659059064243,4,0.4
BOOK01764,10,10,0.3482065517751189,0.3416500194253695,0.48400511095818577,0.48996067218253586,9,0.9
BOOK01765,9,10,0.30637423690610505,0.26417309378698917,0.41510630821816497,0.4632412451645036,7,0.7
BOOK01766,10,10,0.3519811991018483,0.3030956242135362,0.6445099349855481,0.48857532120550184,10,1.0
BOOK01767,10,10,0.31205962077656274,0.29933010846170516,0.44610453604245837,0.4410983355645022,8,0.8
BOOK01768,10,10,0.38762667156580066,0.3290830205623233,0.6537697440415564,0.6063199223704482,10,1.0
BOOK01769,10,10,0.2895499963918409,0.23258195149491007,0.4542513374616463,0.3336893527095009,8,0.8
BOOK01770,10,10,0.3228363105265687,0.297526803587166,0.5100173260286698,0.5181412230614577,7,0.7
BOOK01771,10,10,0.3062722062183208,0.29059533972275914,0.39540805741326207,0.4161842354835227,9,0.9
BOOK01772,4,10,0.3960055532101352,0.16845898055522385,0.5432613986329344,0.5945045735796743,4,0.4
BOOK01773,10,10,0.42983783332398773,0.3514531188635334,0.6663088106943068,0.42940803596892335,3,0.3
BOOK01774,10,10,0.3420217788089238,0.2900739339056536,0.47039023762665494,0.47975881345711724,9,0.9
BOOK01775,7,7,0.2486610293390199,0.21408220635022115,0.28257999085712393,0.28257999085712393,7,0.7
BOOK01776,10,10,0.5212831997612335,0.5048503871762848,1.0,1.0,10,1.0
BOOK01777,10,10,0.5074135613743502,0.4814553078714954,0.6375874334456257,0.664885683060658,7,0.7
BOOK01778,2,5,0.5902018711746335,0.2231302670112671,0.770556194192167,0.4893486093783746,2,0.2
BOOK01779,2,2,0.4241068595860545,0.4488863999521042,0.4959259041736825,0.5318451245721939,2,0.2
BOOK01780,10,10,0.3302518867322381,0.2931671395565335,0.42417767059077827,0.42417767059077827,10,1.0
BOOK01781,10,10,0.394089364333165,0.33207575661533245,0.597423377239505,0.5105822084740307,10,1.0
BOOK01782,10,10,0.42510777697918245,0.3091502635855081,0.6537957605036089,0.5153423123845466,10,1.0
BOOK01783,10,10,0.29203900836798563,0.2522425116792516,0.47251404496178345,0.4998628684849262,6,0.6
BOOK01784,10,10,0.6780248611366216,0.5744328512080554,1.0,1.0,3,0.3
BOOK01785,10,10,0.29049068877993606,0.22789715004013694,0.5927960656361047,0.5730605743137867,6,0.6
BOOK01786,10,10,0.290955219383209,0.29905292648473497,0.5432613986329344,0.5945045735796743,8,0.8
BOOK01787,10,10,0.29244067431669896,0.2722648837637704,0.44552931235360693,0.42989551145518384,8,0.8
BOOK01788,10,10,0.28177630617698535,0.26570456736128073,0.40113347771094293,0.45372358289356485,9,0.9
BOOK01789,10,10,0.4693091931508701,0.3299971828584476,0.9516405382704117,0.766886549971745,8,0.8
BOOK01790,5,9,0.5739699221275258,0.3380694928230872,1.0,0.7526127752271065,5,0.5
BOOK01791,10,10,0.3466273769983644,0.24997730784678512,0.5620591205909832,0.49243003295991394,8,0.8
BOOK01792,10,10,0.3474017209017083,0.3456976419008094,0.5870092797886418,0.5860230116687581,8,0.8
BOOK01793,10,10,0.7422621199441986,0.6971241939206475,1.0,1.0,9,0.9
