query_book_id,recommendations_returned,recommendations_with_cluster,unique_topic_clusters,cluster_diversity_ratio
BOOK00538,10,10,2,0.2
BOOK00539,10,10,1,0.1
BOOK00540,10,10,1,0.1
BOOK00541,10,10,3,0.3
BOOK00542,10,10,2,0.2
BOOK00543,10,10,1,0.1
BOOK00544,10,10,1,0.1
BOOK00545,10,10,2,0.2
BOOK00546,10,10,3,0.3
BOOK00547,10,10,1,0.1
BOOK00548,10,10,2,0.2
BOOK00549,10,10,1,0.1
BOOK00550,10,10,1,0.1
BOOK00551,10,10,2,0.2
BOOK00552,10,10,1,0.1
BOOK00553,10,10,6,0.6
BOOK00554,10,10,1,0.1
BOOK00555,10,10,1,0.1
BOOK00556,10,10,2,0.2
BOOK00557,10,10,3,0.3
BOOK00558,10,10,1,0.1
BOOK00559,10,10,6,0.6
BOOK00560,10,10,3,0.3
BOOK00561,10,10,1,0.1
BOOK00562,10,10,1,0.1
BOOK00563,10,10,1,0.1
BOOK00564,10,10,1,0.1
BOOK00565,10,10,1,0.1
BOOK00566,10,10,1,0.1
BOOK00567,10,10,3,0.3
BOOK00568,10,9,1,0.1111111111111111
BOOK00569,10,10,2,0.2
BOOK00570,10,10,1,0.1
BOOK00571,10,10,6,0.6
BOOK00572,10,10,3,0.3
BOOK00573,10,10,1,0.1
BOOK00574,10,10,4,0.4
BOOK00575,10,10,3,0.3
BOOK00576,10,10,1,0.1
BOOK00577,10,10,7,0.7
BOOK00578,10,10,1,0.1
BOOK00579,10,10,1,0.1
BOOK00580,10,10,3,0.3
BOOK00581,10,10,2,0.2
BOOK00582,10,10,1,0.1
BOOK00583,10,10,2,0.2
BOOK00584,10,10,2,0.2
BOOK00585,10,10,1,0.1
BOOK00586,10,10,3,0.3
BOOK00587,10,10,1,0.1
BOOK00588,10,10,5,0.5
BOOK00589,10,8,1,0.125
BOOK00590,10,10,5,0.5
BOOK00591,10,10,6,0.6
BOOK00592,10,10,4,0.4
BOOK00593,10,10,1,0.1
BOOK00594,10,10,4,0.4
BOOK00595,10,10,1,0.1
BOOK00596,10,10,2,0.2
BOOK00597,10,10,2,0.2
BOOK00598,10,10,3,0.3
BOOK00599,10,10,3,0.3
BOOK00600,10,10,7,0.7
BOOK00601,10,10,5,0.5
BOOK00602,10,10,4,0.4
BOOK00603,10,10,2,0.2
BOOK00604,10,10,3,0.3
BOOK00605,10,10,2,0.2
BOOK00606,10,10,2,0.2
BOOK00607,10,10,4,0.4
BOOK00608,10,10,4,0.4
BOOK00609,10,10,1,0.1
BOOK00610,10,9,3,0.3333333333333333
BOOK00611,10,10,4,0.4
BOOK00612,10,7,5,0.7142857142857143
BOOK00613,10,10,4,0.4
BOOK00614,10,9,7,0.7777777777777778
BOOK00615,10,10,1,0.1
BOOK00616,10,10,2,0.2
BOOK00617,10,10,1,0.1
BOOK00618,10,10,1,0.1
BOOK00619,10,10,3,0.3
BOOK00620,10,10,1,0.1
BOOK00621,10,10,4,0.4
BOOK00622,10,10,1,0.1
BOOK00623,10,10,1,0.1
BOOK00624,10,10,1,0.1
BOOK00625,10,10,2,0.2
BOOK00626,10,10,1,0.1
BOOK00627,10,10,4,0.4
BOOK00628,10,9,1,0.1111111111111111
BOOK00629,10,10,1,0.1
BOOK00630,10,9,1,0.1111111111111111
BOOK00631,10,10,1,0.1
BOOK00632,10,10,1,0.1
BOOK00633,10,10,1,0.1
BOOK00634,10,10,1,0.1
BOOK00635,10,10,1,0.1
BOOK00636,10,10,1,0.1
BOOK00637,10,10,1,0.1
BOOK00638,10,10,5,0.5
BOOK00639,10,10,3,0.3
BOOK00640,10,10,1,0.1
BOOK00641,10,10,3,0.3
BOOK00642,10,10,1,0.1
BOOK00643,10,10,2,0.2
BOOK00644,10,10,3,0.3
BOOK00645,10,10,1,0.1
BOOK00646,10,10,1,0.1
BOOK00647,10,10,1,0.1
BOOK00648,10,10,1,0.1
BOOK00649,10,10,1,0.1
BOOK00650,10,10,1,0.1
BOOK00651,10,10,6,0.6
BOOK00652,10,10,1,0.1
BOOK00653,10,10,2,0.2
BOOK00654,10,10,1,0.1
BOOK00655,10,10,1,0.1
BOOK00656,10,10,1,0.1
BOOK00657,10,10,1,0.1
BOOK00658,10,10,1,0.1
BOOK00659,10,10,4,0.4
BOOK00660,10,10,2,0.2
BOOK00661,10,10,1,0.1
BOOK00662,10,10,1,0.1
BOOK00663,10,10,1,0.1
BOOK00664,10,10,2,0.2
BOOK00665,10,10,1,0.1
BOOK00666,10,10,2,0.2
BOOK00667,10,10,2,0.2
BOOK00668,10,10,3,0.3
BOOK00669,10,10,1,0.1
BOOK00670,10,10,1,0.1
BOOK00671,10,10,3,0.3
BOOK00672,10,10,1,0.1
BOOK00673,10,10,4,0.4
BOOK00674,10,10,1,0.1
BOOK00675,10,10,4,0.4
BOOK00676,10,10,2,0.2
BOOK00677,10,10,3,0.3
BOOK00678,10,10,1,0.1
BOOK00679,10,10,1,0.1
BOOK00680,10,10,4,0.4
BOOK00681,10,9,1,0.1111111111111111
BOOK00682,10,10,1,0.1
BOOK00683,10,10,3,0.3
BOOK00684,10,10,1,0.1
BOOK00685,10,10,1,0.1
BOOK00686,10,10,1,0.1
BOOK00687,10,10,7,0.7
BOOK00688,10,10,1,0.1
BOOK00689,10,10,1,0.1
