book_id,earliest_observed_year,earliest_year_edition_records,earliest_country_codes,earliest_country_code_count,earliest_publication_places,earliest_publication_place_count,earliest_publishers,earliest_publisher_count,earliest_geography_status
BOOK00131,2013,6,[],0,[],0,"['Routledge', 'Taylor & Francis Group']",2,no_geographic_evidence
BOOK00132,1981,1,['nju'],1,"['Englewood Cliffs, N.J']",1,['Prentice-Hall'],1,single_country_evidence
BOOK00133,1949,1,[],0,[],0,['Harvard University Press'],1,no_geographic_evidence
BOOK00134,1996,2,"['dcu', 'vau']",2,"['[Washington, D.C.?]', 'Alexandria, Va']",2,['U.S. Army Research Institute for the Behavioral and Social Sciences'],1,multiple_country_evidence
BOOK00135,1970,1,['ilu'],1,['Chicago'],1,['Rand McNally'],1,single_country_evidence
BOOK00136,2020,2,[],0,[],0,['Xlibris Corporation LLC'],1,no_geographic_evidence
BOOK00137,1990,1,['nyu'],1,"['New York, NY']",1,"['National Institute of Business Management, Inc.']",1,single_country_evidence
BOOK00138,1966,1,['ohu'],1,['Columbus]'],1,"['College of Commerce and Administration, Ohio State University']",1,single_country_evidence
BOOK00139,1983,1,['nyu'],1,['New York'],1,"['Graduate School of Business, Columbia University']",1,single_country_evidence
BOOK00140,1929,1,['xx'],1,['New York'],1,['McGraw-Hill'],1,single_country_evidence
BOOK00141,1988,1,[],0,[],0,[],0,no_geographic_evidence
BOOK00142,1963,1,[],0,[],0,[],0,no_geographic_evidence
BOOK00143,2004,1,[],0,[],0,"[""Equipper's Press International""]",1,no_geographic_evidence
BOOK00144,1950,1,[],0,[],0,['McGraw-Hill'],1,no_geographic_evidence
BOOK00145,2009,1,['nyu'],1,"['[Washington, D.C.]', 'New York']",2,"['U.S. Army', 'Pearson Custom Pub.']",2,single_country_evidence
BOOK00146,1999,6,['xxk'],1,[],0,['Essential Learning Systems'],1,single_country_evidence
BOOK00147,1961,2,['pau'],1,['Philadelphia'],1,['W.B. Saunders Co.'],1,single_country_evidence
BOOK00148,2009,1,['mau'],1,"['Amherst, MA']",1,['HRD Press'],1,single_country_evidence
BOOK00149,1998,2,"['vtu', 'enk']",2,"['Brookfield, Vt', 'Aldershot']",2,['Gower'],1,multiple_country_evidence
BOOK00150,2003,1,[],0,[],0,['Recorded Books'],1,no_geographic_evidence
BOOK00151,2016,1,[],0,[],0,"['Jones & Bartlett Learning, LLC']",1,no_geographic_evidence
