edition_id,book_id,scrape_id,isbn_source,isbn_normalized,isbn_13,isbn_status,publisher,publication_date,publication_year,format,page_count,edition_note,cover_url,external_book_url,source_metadata_conflict
EDITION00982,BOOK01929,481,9783982609225,9783982609225,9783982609225,Valid ISBN-13,Agile.Coach Gmbh & Co. Kg,2024-03-21,2024,Hardcover,190.0,,https://www.leadershipnow.com/leadershop/images/9783982609225.jpg,https://amzn.to/43DSMXV,False
EDITION00983,BOOK01930,637,9788200798827,9788200798827,9788200798827,Invalid check digit,Blackstone Publishing,2023-08-01,2023,Hardcover,242.0,,https://www.leadershipnow.com/leadershop/images/9788200798827.jpg,https://amzn.to/3C2cZd6,False
EDITION00984,BOOK01931,560,9788212414074,9788212414074,9788212414074,Invalid check digit,Heroic Blackstone,2023-11-14,2023,Hardcover,1001.0,,https://www.leadershipnow.com/leadershop/images/9788212414074.jpg,https://amzn.to/45E32je,False
EDITION00985,BOOK01932,474,9788218394301,9788218394301,9788218394301,Invalid check digit,Success Masters LLC,2024-03-12,2024,Paperback,244.0,,https://www.leadershipnow.com/leadershop/images/9788218394301.jpg,https://amzn.to/3TN1YWI,False
EDITION00986,BOOK01933,407,9788350934663,9788350934663,9788350934663,Invalid check digit,BookBaby,2024-05-01,2024,Paperback,178.0,,https://www.leadershipnow.com/leadershop/images/9788350934663.jpg,https://amzn.to/3PsRJEl,False
EDITION00987,BOOK01934,678,9788370856235,9788370856235,9788370856235,Invalid check digit,Independently published,2023-06-05,2023,Hardcover,277.0,,https://www.leadershipnow.com/leadershop/images/9788370856235.jpg,https://amzn.to/3qYFCFS,False
EDITION00988,BOOK01935,760,9788886450101,9788886450101,9788886450101,Invalid check digit,Greenleaf Book Group Press,2023-03-07,2023,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9788886450101.jpg,https://amzn.to/3VQ7KFt,False
EDITION00989,BOOK01936,680,9788886450484,9788886450484,9788886450484,Invalid check digit,Greenleaf Book Group Press,2023-06-06,2023,Hardcover,200.0,,https://www.leadershipnow.com/leadershop/images/9788886450484.jpg,https://amzn.to/3J9Ygjd,False
EDITION00990,BOOK01937,615,9788886450774,9788886450774,9788886450774,Invalid check digit,Greenleaf Book Group Press,2023-09-12,2023,Hardcover,232.0,,https://www.leadershipnow.com/leadershop/images/9788886450774.jpg,https://amzn.to/43AqWKm,False
EDITION00991,BOOK01938,525,9788886451740,9788886451740,9788886451740,Invalid check digit,Greenleaf Book Group Press,2024-01-16,2024,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9788886451740.jpg,https://amzn.to/3ROW32l,False
